Dấu thời gian,"Khi nhắc đến một chiến dịch/quảng cáo “xanh” ấn tượng (bảo vệ môi trường, bền vững,...) bạn sẽ nhớ ngay đến thương hiệu nào?",Các thông điệp truyền thông về bảo vệ môi trường của [Thương hiệu] thường thu hút sự chú ý của tôi.,Tôi có thiện cảm với [Thương hiệu] khi nó truyền tải các thông điệp về bảo vệ môi trường.,Các thông điệp truyền thông của [Thương hiệu] cung cấp thông tin rõ ràng và đầy đủ về các cam kết bảo vệ môi trường của thương hiệu.,Tôi tin rằng [Thương hiệu] luôn chia sẻ trung thực về các hoạt động bảo vệ môi trường của mình.,Tôi cho rằng các hoạt động bảo vệ môi trường của [Thương hiệu] phản ánh đúng giá trị cốt lõi của thương hiệu.,Tôi tin rằng [Thương hiệu] thực hiện đúng những cam kết về bảo vệ môi trường mà thương hiệu đã tuyên bố.,Tôi có thể dễ dàng nhận ra [Thương hiệu] giữa các thương hiệu khác nhờ những cam kết về bảo vệ môi trường của thương hiệu.,Tôi biết đến [Thương hiệu] nhờ danh tiếng về bảo vệ môi trường của thương hiệu.,"Khi đưa ra quyết định mua sản phẩm xanh, [Thương hiệu] là thương hiệu sẽ xuất hiện đầu tiên trong tâm trí tôi.",[Thương hiệu] đáp ứng được kỳ vọng của tôi trong khi vẫn mang lại lợi ích cho môi trường.,"Đối với tôi, [Thương hiệu] là thương hiệu tiêu biểu về chất lượng thân thiện với môi trường.",[Thương hiệu] duy trì được chất lượng sản phẩm thân thiện với môi trường theo thời gian.,Tôi ưu tiên lựa chọn [Thương hiệu] hơn các thương hiệu khác nhờ những cam kết về bảo vệ môi trường của thương hiệu.,"Nếu thương hiệu khác có hiệu quả bảo vệ môi trường tương đương, tôi vẫn sẽ ưu tiên mua sản phẩm của [Thương hiệu].","Ngay cả khi các thương hiệu khác có các đặc tính thân thiện với môi trường tương tự, tôi vẫn cho rằng [Thương hiệu] là lựa chọn hấp dẫn và đáng mua hơn.",Giới tính của bạn là ,Độ tuổi của bạn là,Bạn có thường quan tâm hay tìm kiếm mua các sản phẩm của những thương hiệu thân thiện với môi trường không?
07/06/2026 18:44:24,Đã từng,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 18:49:10,Đã từng,3,3,3,3,3,5,3,3,3,3,3,3,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 18:49:21,Đã từng,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 18:57:23,Đã từng,5,5,4,4,5,5,5,5,5,4,4,4,4,4,5,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 19:01:59,Đã từng,4,5,3,4,5,3,4,5,5,4,3,4,5,4,3,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 19:12:20,Đã từng,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 19:12:37,Đã từng,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 19:16:35,Đã từng,4,4,5,5,4,4,5,5,5,4,4,5,4,4,4,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 19:24:54,Đã từng,4,3,3,3,5,4,3,2,4,3,4,4,2,4,2,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 19:25:38,Đã từng,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 20:32:45,Đã từng,3,3,3,4,3,4,2,4,1,2,4,3,2,1,1,Nữ,Từ 18 đến 30 tuổi,Có
08/06/2026 6:52:54,Đã từng,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Nam,Trên 45 tuổi,Có
03/07/2026 16:12:31,Cocoon,4,4,3,3,3,3,4,3,4,4,5,5,4,5,4,Nữ,Từ 18 đến 30 tuổi,Có
03/07/2026 16:37:14,Cocoon,2,3,1,2,3,2,2,2,2,2,2,2,2,2,2,Nam,Từ 18 đến 30 tuổi,Có
03/07/2026 16:47:40,Cỏ Mềm,4,2,4,2,2,2,3,3,3,4,4,4,2,3,3,Khác,Từ 31 đến 45 tuổi,Không
03/07/2026 18:12:22,Cocoon,4,3,4,4,4,5,3,4,5,4,4,5,4,5,5,Nữ,Từ 18 đến 30 tuổi,Có
03/07/2026 19:18:55,Cỏ Mềm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nữ,Từ 18 đến 30 tuổi,Có
03/07/2026 22:03:07,Cocoon,4,5,5,4,4,4,4,3,3,4,4,4,5,5,4,Nữ,Từ 18 đến 30 tuổi,Có
04/07/2026 21:38:00,Cocoon,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
04/07/2026 21:39:28,Cỏ Mềm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
04/07/2026 22:26:41,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 15:54:31,Cỏ Mềm,4,4,4,5,4,4,4,5,5,4,4,4,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 15:57:40,Cỏ Mềm,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 15:58:05,Cỏ Mềm,2,3,3,4,4,4,2,2,3,3,3,3,2,3,2,Nam,Từ 18 đến 30 tuổi,Không
05/07/2026 16:00:35,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:01:19,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:01:40,Không biết cái nào,4,5,5,3,4,4,4,4,4,3,4,4,4,3,3,Nam,Từ 18 đến 30 tuổi,Không
05/07/2026 16:01:52,Cỏ Mềm,3,2,2,4,2,3,1,2,3,1,2,4,3,3,2,Nữ,Từ 18 đến 30 tuổi,Không
05/07/2026 16:01:54,Cocoon,5,4,5,3,4,3,4,5,4,4,5,5,4,4,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:04:11,Cocoon,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:06:41,Herbario,4,5,5,5,4,5,2,4,5,4,5,5,5,5,3,Nam,Từ 18 đến 30 tuổi,Không
05/07/2026 16:07:26,Cocoon,4,5,5,3,5,4,4,4,5,3,5,5,5,3,4,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:07:56,Cocoon,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:08:08,Innisfree,4,3,5,5,5,4,5,3,4,5,5,3,5,4,3,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:08:54,Herbario,5,5,4,5,4,3,5,4,5,5,5,3,5,4,3,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:09:35,Cỏ Cây Hoa Lá,5,4,5,5,3,4,3,3,5,5,4,4,5,5,3,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:10:11,Cỏ Mềm,4,3,5,5,4,3,5,5,4,4,3,5,5,5,4,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:11:59,Herbario,1,2,2,2,2,1,1,1,2,1,1,2,2,3,1,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:13:30,Innisfree,3,3,1,2,3,1,2,3,4,2,1,3,3,2,4,Nữ,Dưới 18 tuổi,Có
05/07/2026 16:15:34,Cỏ Mềm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:15:44,Innisfree,4,4,3,3,4,4,4,4,3,3,4,4,4,4,3,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:16:00,Cỏ Cây Hoa Lá,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:16:17,Cỏ Mềm,3,4,3,4,5,4,4,4,5,4,3,4,5,4,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:19:22,Cocoon,4,3,3,2,4,3,3,2,4,2,4,2,3,2,4,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:22:18,Cocoon,4,4,5,4,3,3,4,3,3,4,3,4,3,3,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:24:20,Cocoon,4,5,4,3,4,4,4,4,3,3,4,4,3,4,3,Nữ,Dưới 18 tuổi,Không
05/07/2026 16:30:24,Cỏ Cây Hoa Lá,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:31:02,Cỏ Cây Hoa Lá,5,4,4,4,5,3,4,3,5,4,4,4,5,3,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:31:32,Cocoon,3,4,5,5,4,4,5,5,5,4,4,4,4,3,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:35:47,Cocoon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:39:29,Innisfree,4,3,4,3,2,5,1,3,4,4,2,5,4,4,2,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:40:27,Cocoon,4,4,2,4,5,2,3,5,4,4,3,5,3,4,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:41:24,Cỏ Mềm,4,4,4,3,2,3,5,3,5,2,5,3,3,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 16:50:14,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:54:12,Cocoon,3,4,5,5,4,4,4,5,5,5,4,5,5,3,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 16:55:37,Cỏ Mềm,4,3,4,4,5,4,4,5,4,5,4,4,3,3,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 17:02:31,Innisfree,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 17:03:03,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 17:17:05,Cỏ Cây Hoa Lá,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 17:51:18,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 17:52:34,Cocoon,4,4,4,4,4,4,4,3,4,5,4,4,4,4,3,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 18:18:25,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 18:35:54,Cocoon,5,1,1,2,1,1,5,2,1,1,1,1,1,2,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 18:36:09,Cỏ Cây Hoa Lá,4,3,3,3,4,2,4,2,2,3,3,3,4,3,2,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 18:47:30,Cỏ Mềm,2,3,2,2,3,2,3,3,3,4,3,3,4,4,3,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 19:03:34,Cocoon,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 19:38:47,Herbario,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 20:32:44,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 20:35:18,Cocoon,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 20:53:30,Cỏ Cây Hoa Lá,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 20:54:18,Herbario,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 20:55:01,Cocoon,5,4,5,5,4,4,5,5,4,5,5,5,5,5,5,Nữ,Dưới 18 tuổi,Có
05/07/2026 20:55:51,Innisfree,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 31 đến 45 tuổi,Có
05/07/2026 20:56:49,Cỏ Mềm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 31 đến 45 tuổi,Có
05/07/2026 21:59:11,Cỏ Cây Hoa Lá,4,4,4,4,1,4,4,4,1,4,3,4,4,4,4,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 22:21:14,Cỏ Mềm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 22:21:36,Cocoon,5,4,4,5,4,4,3,4,3,4,4,4,4,4,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 22:25:15,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
05/07/2026 22:27:02,Cỏ Mềm,5,5,4,4,5,4,4,5,4,5,4,5,5,4,4,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 22:30:47,Cocoon,3,4,3,3,3,4,4,3,5,4,4,4,4,4,3,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 22:38:18,Cỏ Mềm,5,5,4,4,5,5,5,4,4,4,5,4,4,4,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 22:45:26,Cỏ Mềm,4,4,5,3,3,4,3,5,3,3,4,4,3,3,3,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 23:22:30,Cocoon,4,4,4,4,4,5,5,4,4,4,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
05/07/2026 23:51:16,Cocoon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
06/07/2026 10:43:36,Cocoon,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,Nữ,Từ 18 đến 30 tuổi,Có
07/07/2026 17:56:41,Cỏ Cây Hoa Lá,4,5,4,5,4,4,4,5,4,5,5,4,3,4,5,Nam,Từ 18 đến 30 tuổi,Có
07/07/2026 18:02:29,Innisfree,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Nữ,Từ 18 đến 30 tuổi,Có
08/07/2026 14:53:10,Cocoon,5,4,3,4,2,3,3,2,3,3,4,3,5,3,5,Nam,Từ 18 đến 30 tuổi,Có
08/07/2026 14:53:40,Cỏ Mềm,5,5,5,5,5,5,5,4,4,4,5,5,5,3,3,Nam,Từ 18 đến 30 tuổi,Có
08/07/2026 14:55:54,Cocoon,4,3,4,3,3,2,3,3,3,2,3,3,3,3,2,Nữ,Từ 18 đến 30 tuổi,Có
08/07/2026 15:07:55,Cỏ Mềm,2,4,2,4,2,2,3,2,4,3,4,2,2,1,5,Nữ,Từ 18 đến 30 tuổi,Có
08/07/2026 19:10:33,Innisfree,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,Nữ,Từ 31 đến 45 tuổi,Không
08/07/2026 19:11:27,Innisfree,1,4,4,2,2,3,3,3,3,3,3,2,3,3,3,Khác,Từ 31 đến 45 tuổi,Có
08/07/2026 19:32:53,Cocoon,4,4,5,4,4,4,4,5,5,4,4,4,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
08/07/2026 21:03:15,Cỏ Mềm,1,3,3,3,1,3,3,4,3,4,3,2,4,3,4,Nam,Từ 18 đến 30 tuổi,Không
08/07/2026 21:06:11,Herbario,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,Nam,Từ 31 đến 45 tuổi,Không
08/07/2026 21:06:16,Cỏ Cây Hoa Lá,3,3,1,2,3,1,2,2,1,2,1,1,1,1,1,Nam,Từ 18 đến 30 tuổi,Không
08/07/2026 21:06:50,Cỏ Cây Hoa Lá,2,2,2,3,2,2,3,2,3,3,3,2,2,3,2,Nữ,Dưới 18 tuổi,Có
08/07/2026 21:07:14,Cỏ Mềm,1,2,3,1,2,3,1,2,3,2,3,2,4,2,3,Nữ,Dưới 18 tuổi,Không
08/07/2026 21:07:54,Cỏ Mềm,2,2,3,2,3,3,3,2,2,3,3,3,3,2,2,Nữ,Từ 18 đến 30 tuổi,Có
08/07/2026 21:09:34,Innisfree,3,3,2,2,2,3,3,2,2,3,3,3,3,2,2,Khác,Dưới 18 tuổi,Không
08/07/2026 22:09:27,Cocoon,4,5,3,4,2,3,2,3,4,5,5,5,4,5,5,Nữ,Từ 31 đến 45 tuổi,Có
